Answer ID,Question ID,Question Title,content,Language,Status,Is Verified,User Fullname,User Username,User Title,User Reputation,User External ID,Group Id,Group Name,Group Slug,Views Count,Comments Count,Upvotes Count,Downvotes Count,Edits Count,Reasks Count,Creation Date,Update Date
611fbd31b56cdc185c54f035,611fbccbecbf0e717f10630d,"Ama durup tek başına düşünmedi
Orada olan bir şeyi araması gerekiyordu
Ve ne geceydi ne de gündüz
Ufuktaki çizgi olduğu yerde kaldı","<p>Il Balletto Di Bronzo - YS albümünden ""Secondo Incontro"" <a class=""user-mention"" data-user-id=""5eb8087b0a1c6534a2677d4a"" href=""https://rock.tribe.so/user/uvey_shulman_kardes"">@üvey shulman</a> çevirisinden aldım. Konsept albüm tüm sözler bağlantılı ama ben biraz kafama taktığım kavramlara yakın olduğu için burayı seçtim. Albüm konseptinin detayını çok fazla araştırdığımı söyleyemem. Benim anladığım kadarıyla İsa betimlemesi ile feryat etmişler. Albümün son şarkısının sözlerinin sonunda karanlığın hakim olmasına takıldım ama depresif bir anlatımdır herhalde, dedim.</p><p>Alıntıladığım kısma gelirsek eğer, durup tek başına düşünmek çok gerekli bir eylem. Tekrar edeyim konsept içinde farklı bir şeyden bahsediyorlar olabilir şimdi yanlış bir şey söylemeyeyim :)</p><p>Orada olan bir şeyi aramak derken zaten buna gönderme vardır ama ben bunu genel bağlamda inançlar olarka kabul ediyorum. Baştan kabul ettiklerimizi buluyoruz zaten, aradım buldum olayı biraz da kandırmaca olabilir.</p><p>Gecenin ve gündüzün olmadığı yer farklı bir alem olabilir ya da zaman durmuş olabilir artık buradaki betimlemeden biraz kopmuş olabilirim.</p><p>Ufuktaki çizgi de hep olduğu yerde kalır zaten. Bir anlamda algılarımızın sonucu bu böyle, aslında sabit olan budur demeye getirmişler ki buna temelden katılıyorum. Araçlarımız sınırlı olsa dahi bundan bir çıkarım yapabiliyoruz ve elimizde olan da ancak budur demişler. Tabii dediğim gibi benim kişisel olarak kafaya taktığım kavramlarla algılamam böyle oldu. Zaten bu bölümlerde şarkı albüm incelemesinden çok bu tarz tartışmalı şeyleri yazalım. İnceleme yapmak zaten apayrı bir olay.</p>",tr,published,false,Rock Tribe,rocktribeso, ,7310,,,,,10,5,1,0,1,0,2021-08-20T14:33:21Z,2021-10-03T18:01:41Z
611817a2afcd926b496b68b3,604d7c658e369573e914c67e,"Varsayılan görünüm nasıl olsun?
(Sağ alttaki menüden Ay'a tıklayıp değiştirebilirsiniz)",,,published,false,Rock Tribe,rocktribeso, ,7310,,,,,0,0,0,0,1,0,2021-08-14T19:21:06Z,2021-08-14T19:21:06Z
6116b5928c54874941675994,604d7c658e369573e914c67e,"Varsayılan görünüm nasıl olsun?
(Sağ alttaki menüden Ay'a tıklayıp değiştirebilirsiniz)",,,published,false,mehmet gür,mehmet_gur,https://twitter.com/proglive1,904,,,,,0,0,0,0,1,0,2021-08-13T18:10:26Z,2021-08-13T18:10:26Z
6116b55e4edece9213e2cf4b,60dc2a52d41e05825a430ca1,Bir anket yapayım dedim. Birini seçmek zorunda kalsanız hangisi? ,,,published,false,mehmet gür,mehmet_gur,https://twitter.com/proglive1,904,,,,,0,0,0,0,1,0,2021-08-13T18:09:34Z,2021-08-13T18:09:34Z
6114773ae6ce2f7eb8dae60e,611476d2d061021b53bbf46a,Tahminen ne zamana biteriz?,"<p>Tribe.(so) sitelerinin altyapısı göçerse ya da adamlar sistemi değiştirirse burası bitebilir ama biz biter miyiz?</p><p>Aslında başlayabildik mi ki? Bitelim, diyebiliriz.</p><p>Diğer taraftan ortaklaşa bir şeyler yapma ihtiyacımız olduğu sürece bitmeyiz gibi de geliyor. Böyle bir şey varsa tabii.</p><p>Pek umutlu bir yapım yok ama elimden geleni de her zaman yaparım. Bu serüvenin insanoğlunun temel ihtiyaçları karşılandıktan sonraki aşaması için zaruri şekilde tamamlanması gerektiğini düşünüyorum. Yani ihtiyaçlar hiyerarşisinde son basamak. Benzer motivasyonlar, benzer ihtiyaçlar olduğu sürece böyle devam edecektir.</p><p>Beni burası için en çok umutsuzluğa sevk eden olay, bu kadar az sayıda insanla bile tatsızlıklar çıkmasıdır. Yani elbette bir taraftan doğal bir süreç, ne kadar insan olursa o kadar çok sorun da çıkabilir ama az sayıda insan için bunun etkisi daha büyük oluyor. Bunun sebebi kimse kalmayacak ortam bitecek meselesi de değil. Az sayıda insan ile toplanmanın kitlesel harekete göre çok daha bilinçli bir şekilde süzülerek burada olmak ile ilgisi olduğunu söylemek istiyorum. Sonra, buna rağmen böyle oluyorsa diye, derin bir umutsuzluğa kapılabiliyorum.</p>",tr,published,false,Rock Tribe,rocktribeso, ,7310,,,,,5,0,3,0,1,0,2021-08-12T01:19:54Z,2021-08-13T18:34:57Z
60ec8fb64a765befcb0bf134,60ec45c6a0ad9fb7f0b0adb1,"Ve kaderimi anlat bana, ait olduğum yeri anlat 
Anlat bana hiç huzur içinde dinlenebilecek miyim?","<p>Soru çok güzel. Bu sorunun cevabını ben de alabilmek isterdim.</p><p>Asıl sorun ise bu soruya kimin cevap verebileceği yani sorunun kime sorulması gerektiği.</p><p>Bu soru on binlerce yılın sorusudur bana sorarsanız. Milyarlarca, trilyonlarca insan sormuştur bunu, ellerini göklere kaldırarak Güneşe, Aya ve de yıldızlara yöneltmişlerdir yüreklerini yakan bu cevapsız soruyu.</p><p>Huzurun mümkün olduğunu sanmıyorum. Şu an için huzurluysanız bile bir an sonra kendinizi korkutucu gelecek senaryolarının içinde veyahut da geçmiş acıların peşinde bulup sıyrılabilirsiniz o kısa ve mutlu andan.</p><p>Huzurun bu hayatta olduğuna inanmak ve yaşamın kendisinin huzur verebileceğini düşünmek bence çok güzel bir pazarlama stratejisi. Tam da bu yüzden huzur veren evler, arabalar, huzur veren yiyecekler, huzur veren rahat kıyafetler pazarlanabilir ve huzur arayan insanlar baştan çıkartılabilir.</p><p>Huzur veren bitki çayları vardır artık, huzur veren taşlar, huzur veren renkler ve huzur veren tropikal meyveler vardır.</p><p>Huzur ise hep bir köşe başındadır ve o köşeyi hiç dönemezsiniz.</p><p>Huzurun nerede olduğunu bana sorarsanız huzur akılda değil akılsızlıktadır. </p><p>Huzur düşüncede değil düşünmenin olmadığı yerdedir.</p><p>Huzur yapmakta olduğunuz işi yaparken tamamen konsantre olmanız ve düşünce trenine aldırış etmemenizdir.</p><p>Huzur pazarlanabilecek, satılabilecek, alınabilecek bir şey değildir.</p><p>Huzur içinde dinlenebilmek de mümkün değildir.</p><p>Çünkü insanız ve çünkü topraktanız ve çünkü kendimize milyonlarca ışık yılı uzağız tıpkı yıldızlara uzak olduğumuz gibi.</p>",tr,published,false,mavi,mavi,,4177,,,,,6,5,2,0,1,0,2021-07-12T18:53:42Z,2021-08-30T01:18:02Z
60ec461282ac562e9d8a1f20,60ec45c6a0ad9fb7f0b0adb1,"Ve kaderimi anlat bana, ait olduğum yeri anlat 
Anlat bana hiç huzur içinde dinlenebilecek miyim?","<p>Iron Maiden'dan şarkı sözü alıntısı eklememişiz. Hemen bir tane bulup ekledim. ""Iron Maiden - Judgement Of Heaven"" şarkısından bir alıntı. Şarkının geneline bakınca genel bir sorgulama fikri olduğunu görüyoruz. Alıntıladığım kısımda huzur içinde dinlenme olayı, bir taraftan ebedi istirahat gibi de olduğu için ekledim.</p><p>Aynı zamanda devamında, geçmişi değiştirmek mümkün olsa değiştirebilir miydin? diye soruyorlar. Şarkıdaki en kilit soru da doğru olduğunu düşündüğün bir şeyin yanlış olduğuna inanma aşamasıyla ilgili kısmı...</p><p>Bir nevi kişisel aydınlanma tarifi gibi düşünebiliriz. Doğru bildiklerimiz bir noktada bu aşamaya geçebilir ya da belki böyle bir süreç hiç durmadan sürmelidir. Buradaki sorun bir şeylere tutunmadan devam edilemeyeceği için ulaşacağımız her sonuç baştan hatalıdır, diyebiliriz. Biraz karamsar bir düşünce ama bu hata payını saklı tutunca (evet bu da bir sabit) hayat biraz daha kolay oluyor sanki...</p>",tr,published,false,Rock Tribe,rocktribeso, ,7310,,,,,8,0,1,0,1,0,2021-07-12T13:39:30Z,2021-08-30T01:23:04Z
60e9f4b0d308ba85dbe0c11d,60dc2a52d41e05825a430ca1,Bir anket yapayım dedim. Birini seçmek zorunda kalsanız hangisi? ,,,published,false,Gökhan Demiryürek,gokhan_demiryurek,,18,,,,,0,0,0,0,1,0,2021-07-10T19:27:44Z,2021-07-10T19:27:44Z
60e49f4db2f1ed112a78b3fe,60dc2a52d41e05825a430ca1,Bir anket yapayım dedim. Birini seçmek zorunda kalsanız hangisi? ,,,published,false,montaigne,montaigne,,10,,,,,0,0,0,0,1,0,2021-07-06T18:22:05Z,2021-07-06T18:22:05Z
60de8a779c00c1dbbb7812c0,60dc2a52d41e05825a430ca1,Bir anket yapayım dedim. Birini seçmek zorunda kalsanız hangisi? ,"<p>Genesis degil de Steve Hackett olsa daha net cevabım olurdu ama bu listede Camel ve Renaissance arasında gidip geldim. Rena'nın ""let it grow"" şarkısına denk gelmiştim dün. Biraz kurcaladım hoşuma gitmişti. Ama Camel tabii ki... Daha çok şarkısını biliyor ve seviyorum. Haftaya için söz veremem ama rena dinliyor olabilirim 😀</p>",tr,published,false,Sek,sek,BaRocka İnsanı,395,,,,,6,0,2,0,3,0,2021-07-02T03:39:35Z,2021-09-28T03:07:33Z
